repo_name,repo_url,total_loc,code_loc,total_files,source_files,test_files,functions,classes,avg_complexity,max_complexity,duplication_percentage,test_file_ratio,dependency_count,documentation_score,security_findings_count,architecture_confidence,total_commits,overall_score,maturity_label
user1/repo1,https://github.com/user1/repo1,500,400,10,5,1,2,0,3.5,15,25.0,0.1,10,20.0,8,30.0,1,45.0,Beginner
user2/repo2,https://github.com/user2/repo2,800,700,15,8,0,4,1,4.0,20,30.0,0.0,15,15.0,10,25.0,1,42.0,Beginner
user3/repo3,https://github.com/user3/repo3,300,250,5,3,0,1,0,3.2,12,22.5,0.0,5,25.0,6,35.0,1,48.0,Beginner
user4/repo4,https://github.com/user4/repo4,1200,1100,25,12,2,8,2,4.5,25,35.0,0.08,20,18.0,12,20.0,1,40.0,Beginner
user5/repo5,https://github.com/user5/repo5,450,380,8,4,1,3,0,3.1,10,20.0,0.12,8,22.0,5,38.0,1,50.0,Beginner
user6/repo6,https://github.com/user6/repo6,950,850,18,10,0,5,1,3.8,18,28.0,0.0,12,19.0,9,28.0,1,44.0,Beginner
user7/repo7,https://github.com/user7/repo7,600,500,12,6,1,2,0,3.3,14,24.0,0.08,9,21.0,7,32.0,1,47.0,Beginner
user8/repo8,https://github.com/user8/repo8,1500,1350,30,15,2,10,3,4.8,28,38.0,0.07,25,16.0,15,18.0,1,38.0,Beginner
user9/repo9,https://github.com/user9/repo9,350,300,6,4,0,2,0,3.0,11,19.0,0.0,6,26.0,4,40.0,1,51.0,Beginner
user10/repo10,https://github.com/user10/repo10,700,600,14,7,1,4,1,3.6,16,26.0,0.07,11,20.0,8,30.0,1,46.0,Beginner
user11/repo11,https://github.com/user11/repo11,550,450,11,5,1,3,0,3.4,13,23.0,0.09,10,22.0,6,33.0,1,48.0,Beginner
user12/repo12,https://github.com/user12/repo12,1100,950,22,11,2,7,2,4.2,22,32.0,0.09,18,17.0,11,22.0,1,41.0,Beginner
user13/repo13,https://github.com/user13/repo13,400,350,7,4,0,2,0,3.2,12,21.0,0.0,7,24.0,5,36.0,1,49.0,Beginner
user14/repo14,https://github.com/user14/repo14,850,750,16,9,1,5,1,3.9,19,29.0,0.06,13,19.0,9,27.0,1,43.0,Beginner
user15/repo15,https://github.com/user15/repo15,650,550,13,6,1,3,0,3.5,15,25.0,0.08,10,21.0,7,31.0,1,47.0,Beginner
user16/repo16,https://github.com/user16/repo16,1300,1200,28,14,2,9,3,4.6,26,36.0,0.07,22,17.0,13,19.0,1,39.0,Beginner
user17/repo17,https://github.com/user17/repo17,480,400,9,5,1,3,0,3.3,13,22.0,0.11,8,23.0,5,37.0,1,50.0,Beginner
user18/repo18,https://github.com/user18/repo18,900,800,17,9,1,5,1,3.7,17,27.0,0.06,12,20.0,8,29.0,1,45.0,Beginner
user19/repo19,https://github.com/user19/repo19,750,650,15,8,1,4,1,3.6,16,26.0,0.07,11,20.0,8,30.0,1,46.0,Beginner
user20/repo20,https://github.com/user20/repo20,1000,900,20,10,2,6,2,4.0,20,30.0,0.1,15,18.0,10,25.0,1,42.0,Beginner
expressjs/express,https://github.com/expressjs/express,21479,15815,213,50,91,0,0,1.16,23,12.41,0.0,99,75.0,5,65.0,1,73.19,Intermediate
vercel/ms,https://github.com/vercel/ms,1360,1031,23,4,4,0,0,1.26,44,0.0,0.0,54,58.82,1,40.0,1,78.97,Intermediate
lodash/lodash,https://github.com/lodash/lodash,52002,31516,65,20,7,0,0,1.81,1135,3.32,0.0,5906,67.0,17,40.0,1,68.61,Intermediate
axios/axios,https://github.com/axios/axios,43965,35669,463,89,126,0,0,1.54,119,2.16,0.0,18237,88.64,12,85.0,1,83.69,Intermediate
tj/commander.js,https://github.com/tj/commander.js,19595,14419,219,42,117,0,0,1.14,21,10.69,0.0,2747,90.0,1,40.0,1,72.93,Intermediate
pallets/flask,https://github.com/pallets/flask,18383,13336,236,36,48,1462,160,1.5,23,5.74,0.0,353,78.83,4,40.0,1,74.15,Intermediate
